     3   0.9424778E-02   0.1247682E+03   0.1273925E+03       370
     6   0.1884956E-01   0.1356561E+03   0.1382804E+03      1402
     9   0.2827433E-01   0.1096321E+03   0.1122564E+03      3154
    12   0.3769911E-01   0.8732046E+02   0.8994475E+02      5450
    15   0.4712389E-01   0.7127142E+02   0.7389571E+02      8458
    18   0.5654867E-01   0.6157089E+02   0.6419517E+02     12250
    21   0.6597345E-01   0.5535655E+02   0.5798083E+02     16730
    24   0.7539823E-01   0.4757163E+02   0.5019592E+02     21766
    27   0.8482300E-01   0.4029857E+02   0.4292285E+02     27634
    30   0.9424778E-01   0.3335058E+02   0.3597486E+02     33922
    33   0.1036726E+00   0.2883396E+02   0.3145825E+02     41162
    36   0.1130973E+00   0.2631923E+02   0.2894351E+02     48802
    39   0.1225221E+00   0.2431844E+02   0.2694273E+02     57250
    42   0.1319469E+00   0.2218435E+02   0.2480864E+02     66874
    45   0.1413717E+00   0.1972790E+02   0.2235219E+02     76106
    48   0.1507965E+00   0.1741541E+02   0.2003970E+02     87022
    51   0.1602212E+00   0.1579712E+02   0.1842141E+02     98242
    54   0.1696460E+00   0.1458647E+02   0.1721075E+02    109570
    57   0.1790708E+00   0.1348545E+02   0.1610974E+02    122786
    60   0.1884956E+00   0.1261302E+02   0.1523731E+02    135826
    63   0.1979203E+00   0.1177900E+02   0.1440328E+02    148978
    66   0.2073451E+00   0.1094291E+02   0.1356720E+02    165314
    69   0.2167699E+00   0.1008929E+02   0.1271357E+02    179314
    72   0.2261947E+00   0.9513098E+01   0.1213738E+02    194986
    75   0.2356195E+00   0.8885444E+01   0.1150973E+02    212470
    78   0.2450442E+00   0.8426127E+01   0.1105041E+02    229010
    81   0.2544690E+00   0.7903219E+01   0.1052750E+02    247882
    84   0.2638938E+00   0.7457935E+01   0.1008222E+02    266218
    87   0.2733186E+00   0.7088709E+01   0.9712994E+01    284890
    90   0.2827433E+00   0.6704703E+01   0.9328989E+01    306050
    93   0.2921681E+00   0.6383310E+01   0.9007595E+01    325618
    96   0.3015929E+00   0.6044454E+01   0.8668739E+01    346978
    99   0.3110177E+00   0.5775351E+01   0.8399636E+01    370198
   102   0.3204425E+00   0.5471241E+01   0.8095527E+01    392906
   105   0.3298672E+00   0.5247905E+01   0.7872190E+01    415018
   108   0.3392920E+00   0.4991114E+01   0.7615399E+01    440554
   111   0.3487168E+00   0.4839034E+01   0.7463320E+01    463178
   114   0.3581416E+00   0.4612872E+01   0.7237157E+01    489754
   117   0.3675663E+00   0.4408481E+01   0.7032766E+01    516730
   120   0.3769911E+00   0.4252877E+01   0.6877162E+01    543010
   123   0.3864159E+00   0.4103931E+01   0.6728216E+01    570062
   126   0.3958407E+00   0.3923757E+01   0.6548042E+01    598378
   129   0.4052655E+00   0.3791228E+01   0.6415513E+01    628594
   132   0.4146902E+00   0.3646217E+01   0.6270502E+01    656434
   135   0.4241150E+00   0.3515110E+01   0.6139396E+01    686570
   138   0.4335398E+00   0.3395831E+01   0.6020116E+01    717634
   141   0.4429646E+00   0.3291139E+01   0.5915424E+01    751426
   144   0.4523894E+00   0.3184871E+01   0.5809156E+01    779746
   147   0.4618141E+00   0.3068379E+01   0.5692665E+01    815870
   150   0.4712389E+00   0.2960836E+01   0.5585121E+01    848194
   153   0.4806637E+00   0.2864894E+01   0.5489179E+01    883858
   156   0.4900885E+00   0.2786087E+01   0.5410372E+01    916610
   159   0.4995132E+00   0.2700241E+01   0.5324526E+01    951346
   162   0.5089380E+00   0.2622440E+01   0.5246726E+01    991834
   165   0.5183628E+00   0.2536533E+01   0.5160818E+01   1023754
   168   0.5277876E+00   0.2470812E+01   0.5095098E+01   1064522
   171   0.5372124E+00   0.2394517E+01   0.5018802E+01   1103554
   174   0.5466371E+00   0.2327685E+01   0.4951970E+01   1139974
   177   0.5560619E+00   0.2252778E+01   0.4877063E+01   1182730
   180   0.5654867E+00   0.2186844E+01   0.4811129E+01   1221986
   183   0.5749115E+00   0.2148105E+01   0.4772390E+01   1261546
   186   0.5843362E+00   0.2084256E+01   0.4708541E+01   1305034
   189   0.5937610E+00   0.2023503E+01   0.4647789E+01   1344266
   192   0.6031858E+00   0.1975943E+01   0.4600228E+01   1389754
   195   0.6126106E+00   0.1924204E+01   0.4548489E+01   1436794
   198   0.6220354E+00   0.1874366E+01   0.4498652E+01   1476646
   201   0.6314601E+00   0.1827603E+01   0.4451888E+01   1524506
   204   0.6408849E+00   0.1787764E+01   0.4412050E+01   1569418
   207   0.6503097E+00   0.1736038E+01   0.4360323E+01   1613050
   210   0.6597345E+00   0.1695307E+01   0.4319593E+01   1663330
   213   0.6691592E+00   0.1653967E+01   0.4278253E+01   1711802
   216   0.6785840E+00   0.1617971E+01   0.4242257E+01   1758346
   219   0.6880088E+00   0.1576141E+01   0.4200426E+01   1806034
   222   0.6974336E+00   0.1536384E+01   0.4160669E+01   1858534
   225   0.7068584E+00   0.1500351E+01   0.4124636E+01   1910426
   228   0.7162831E+00   0.1473306E+01   0.4097591E+01   1960210
   231   0.7257079E+00   0.1433755E+01   0.4058040E+01   2010970
   234   0.7351327E+00   0.1397386E+01   0.4021672E+01   2062562
   237   0.7445575E+00   0.1375248E+01   0.3999534E+01   2116570
   240   0.7539823E+00   0.1344968E+01   0.3969253E+01   2172922
   243   0.7634070E+00   0.1310989E+01   0.3935274E+01   2227498
   246   0.7728318E+00   0.1280741E+01   0.3905026E+01   2279726
   249   0.7822566E+00   0.1259947E+01   0.3884233E+01   2337874
