   252   0.7916814E+00   0.1229037E+01   0.3853323E+01   2395762
   255   0.8011061E+00   0.1198037E+01   0.3822322E+01   2450410
   258   0.8105309E+00   0.1178498E+01   0.3802783E+01   2508410
   261   0.8199557E+00   0.1158095E+01   0.3782380E+01   2569258
   264   0.8293805E+00   0.1131382E+01   0.3755667E+01   2629714
   267   0.8388053E+00   0.1103056E+01   0.3727341E+01   2685106
   270   0.8482300E+00   0.1082846E+01   0.3707131E+01   2747282
   273   0.8576548E+00   0.1057201E+01   0.3681486E+01   2812222
   276   0.8670796E+00   0.1041234E+01   0.3665519E+01   2872714
   279   0.8765044E+00   0.1015746E+01   0.3640032E+01   2932274
   282   0.8859291E+00   0.1003659E+01   0.3627944E+01   2998474
   285   0.8953539E+00   0.9807101E+00   0.3604995E+01   3059074
   288   0.9047787E+00   0.9632819E+00   0.3587567E+01   3129826
   291   0.9142035E+00   0.9416487E+00   0.3565934E+01   3193682
   294   0.9236283E+00   0.9254890E+00   0.3549774E+01   3257242
   297   0.9330530E+00   0.9056627E+00   0.3529948E+01   3325678
   300   0.9424778E+00   0.8939191E+00   0.3518204E+01   3393466
