   204   204     3    0.1771779E+01    0.1771779E+01    0.1065722E+03    0.2393687E+03    0.5350132E+03    0.2573922E+09
   207   204     3    0.1734233E+01    0.1771779E+01    0.1065722E+03    0.4092805E+03    0.7048266E+03    0.1557241E+09
   207   207     3    0.1734233E+01    0.1734233E+01    0.1065722E+03    0.2407898E+03    0.5362374E+03    0.2641337E+09
   210   204     3    0.1688738E+01    0.1771779E+01    0.1065722E+03    0.6759141E+03    0.9713408E+03    0.8415066E+07
   210   207     3    0.1688738E+01    0.1734233E+01    0.1065722E+03    0.3971756E+03    0.6925038E+03    0.1603089E+09
   210   210     3    0.1688738E+01    0.1688738E+01    0.1065722E+03    0.2002131E+03    0.4954221E+03    0.2728404E+09
   213   207     3    0.1645677E+01    0.1734233E+01    0.1065722E+03    0.8295132E+03    0.1124729E+04    0.8570130E+07
   213   210     3    0.1645677E+01    0.1688738E+01    0.1065722E+03    0.4136526E+03    0.7087486E+03    0.1650630E+09
   213   213     3    0.1645677E+01    0.1645677E+01    0.1065722E+03    0.1956246E+03    0.4906078E+03    0.2808817E+09
   216   210     3    0.1604249E+01    0.1688738E+01    0.1065722E+03    0.6735487E+03    0.9685361E+03    0.8804714E+07
   216   213     3    0.1604249E+01    0.1645677E+01    0.1065722E+03    0.4055632E+03    0.7004377E+03    0.1697455E+09
   216   216     3    0.1604249E+01    0.1604249E+01    0.1065722E+03    0.2019760E+03    0.4967419E+03    0.2882073E+09
   219   213     3    0.1563901E+01    0.1645677E+01    0.1065722E+03    0.5933195E+03    0.8880882E+03    0.9106386E+07
   219   216     3    0.1563901E+01    0.1604249E+01    0.1065722E+03    0.4017499E+03    0.6964100E+03    0.1744268E+09
   219   219     3    0.1563901E+01    0.1563901E+01    0.1065722E+03    0.2405283E+03    0.5350826E+03    0.2958137E+09
   222   216     3    0.1529489E+01    0.1604249E+01    0.1065722E+03    0.5718953E+03    0.8664651E+03    0.9403698E+07
